city,window_number,train_start,train_end,test_start,test_end,sarima_rmse,sarima_mae,sarima_mape,sarima_r2,lstm_rmse,lstm_mae,lstm_mape,lstm_r2
Arezzo,1,2019-01,2021-12,2022-01,2022-12,127.73,104.17,56.34,0.7421,126.02,104.06,60.09,0.7489
Arezzo,2,2019-02,2022-01,2022-02,2023-01,164.42,122.4,34.33,0.5642,154.53,119.76,41.17,0.6151
Arezzo,3,2019-03,2022-02,2022-03,2023-02,159.76,123.32,41.52,0.5831,172.07,139.86,50.54,0.5164
Arezzo,4,2019-04,2022-03,2022-04,2023-03,139.49,125.5,82.05,0.6751,164.95,135.0,48.21,0.5456
Arezzo,5,2019-05,2022-04,2022-05,2023-04,243.67,209.63,196.97,0.0048,109.19,94.46,72.24,0.8002
Arezzo,6,2019-06,2022-05,2022-06,2023-05,255.18,230.44,200.65,-0.0818,135.07,117.78,105.61,0.6969
Arezzo,7,2019-07,2022-06,2022-07,2023-06,370.85,343.59,271.93,-1.1735,130.28,112.76,100.68,0.7318
Arezzo,8,2019-08,2022-07,2022-08,2023-07,399.63,387.69,280.36,-1.1619,96.16,79.96,79.89,0.8748
Arezzo,9,2019-09,2022-08,2022-09,2023-08,186.0,174.83,132.63,0.5624,120.89,106.89,96.4,0.8151
Arezzo,10,2019-10,2022-09,2022-10,2023-09,161.83,154.51,112.14,0.6833,128.89,119.69,101.01,0.7991
Arezzo,11,2019-11,2022-10,2022-11,2023-10,122.94,117.26,86.43,0.8171,100.61,89.8,81.09,0.8775
Arezzo,12,2019-12,2022-11,2022-12,2023-11,52.07,39.72,13.74,0.9666,56.26,51.8,32.35,0.961
Arezzo,13,2020-01,2022-12,2023-01,2023-12,60.2,45.57,12.02,0.9539,95.3,81.11,22.51,0.8846
Arezzo,14,2020-02,2023-01,2023-02,2024-01,62.35,49.55,15.58,0.9501,84.8,72.97,21.84,0.9076
Arezzo,15,2020-03,2023-02,2023-03,2024-02,74.62,60.75,16.31,0.9277,77.36,62.73,15.53,0.9222
Arezzo,16,2020-04,2023-03,2023-04,2024-03,61.0,49.35,16.41,0.9504,70.86,58.31,15.08,0.9331
Arezzo,17,2020-05,2023-04,2023-05,2024-04,96.27,82.34,58.11,0.8764,42.4,35.71,15.88,0.976
Arezzo,18,2020-06,2023-05,2023-06,2024-05,111.21,102.28,65.98,0.8379,57.45,46.47,35.23,0.9567
Arezzo,19,2020-07,2023-06,2023-07,2024-06,44.81,31.92,14.67,0.975,52.05,42.94,32.01,0.9663
Arezzo,20,2020-08,2023-07,2023-08,2024-07,60.91,49.5,23.44,0.9631,53.38,45.36,28.2,0.9716
Firenze,1,2019-01,2021-12,2022-01,2022-12,316.94,247.94,33.64,0.3614,262.42,215.17,36.27,0.5622
Firenze,2,2019-02,2022-01,2022-02,2023-01,477.78,427.81,54.7,-0.7196,317.01,252.68,29.6,0.243
Firenze,3,2019-03,2022-02,2022-03,2023-02,327.3,263.06,31.15,0.046,378.62,326.96,38.91,-0.2766
Firenze,4,2019-04,2022-03,2022-04,2023-03,322.24,286.82,44.04,-0.0967,322.39,257.9,27.68,-0.0977
Firenze,5,2019-05,2022-04,2022-05,2023-04,754.16,660.97,99.61,-4.6373,223.56,197.55,29.26,0.5046
Firenze,6,2019-06,2022-05,2022-06,2023-05,755.13,670.18,96.65,-4.1745,198.78,169.29,24.49,0.6414
Firenze,7,2019-07,2022-06,2022-07,2023-06,828.1,763.73,103.63,-4.332,501.05,465.15,64.62,-0.9521
Firenze,8,2019-08,2022-07,2022-08,2023-07,799.46,764.03,96.98,-2.9544,424.85,400.52,53.29,-0.1167
Firenze,9,2019-09,2022-08,2022-09,2023-08,333.11,297.84,36.15,0.3746,259.08,240.82,32.11,0.6217
Firenze,10,2019-10,2022-09,2022-10,2023-09,490.93,459.93,52.48,-0.2563,268.05,257.25,32.86,0.6255
Firenze,11,2019-11,2022-10,2022-11,2023-10,382.36,364.36,39.78,0.2721,245.66,241.99,30.13,0.6995
Firenze,12,2019-12,2022-11,2022-12,2023-11,130.28,93.74,9.51,0.9114,98.57,81.17,11.66,0.9493
Firenze,13,2020-01,2022-12,2023-01,2023-12,195.26,143.18,15.72,0.7886,85.39,73.66,6.8,0.9596
Firenze,14,2020-02,2023-01,2023-02,2024-01,238.88,179.41,22.42,0.6643,102.82,85.61,7.42,0.9378
Firenze,15,2020-03,2023-02,2023-03,2024-02,141.52,116.15,15.13,0.8725,105.51,90.43,7.99,0.9291
Firenze,16,2020-04,2023-03,2023-04,2024-03,246.93,202.95,26.09,0.5805,92.52,84.13,8.76,0.9411
Firenze,17,2020-05,2023-04,2023-05,2024-04,334.43,304.1,35.67,0.2569,115.11,89.51,11.87,0.912
Firenze,18,2020-06,2023-05,2023-06,2024-05,203.9,177.81,21.64,0.748,144.84,119.89,15.24,0.8728
Firenze,19,2020-07,2023-06,2023-07,2024-06,179.66,159.47,19.22,0.828,150.89,126.99,15.95,0.8787
Firenze,20,2020-08,2023-07,2023-08,2024-07,88.44,75.0,7.95,0.9639,122.52,97.3,12.63,0.9308
Lucca,1,2019-01,2021-12,2022-01,2022-12,236.7,184.74,57.73,0.5685,237.95,185.88,62.25,0.5639
Lucca,2,2019-02,2022-01,2022-02,2023-01,288.93,229.75,57.87,0.3461,267.86,212.6,52.9,0.438
Lucca,3,2019-03,2022-02,2022-03,2023-02,261.12,199.37,43.58,0.4587,278.93,229.95,64.5,0.3823
Lucca,4,2019-04,2022-03,2022-04,2023-03,224.82,204.24,97.68,0.5884,256.84,201.35,43.79,0.4628
Lucca,5,2019-05,2022-04,2022-05,2023-04,407.5,340.75,289.78,-0.365,182.9,168.33,101.27,0.725
Lucca,6,2019-06,2022-05,2022-06,2023-05,463.46,407.35,315.97,-0.7108,223.25,198.46,153.87,0.603
Lucca,7,2019-07,2022-06,2022-07,2023-06,649.47,593.64,409.13,-2.1961,226.79,200.11,156.42,0.6103
Lucca,8,2019-08,2022-07,2022-08,2023-07,624.61,599.42,382.17,-1.3553,176.45,152.34,128.12,0.812
Lucca,9,2019-09,2022-08,2022-09,2023-08,227.84,211.13,148.57,0.7136,191.72,170.81,135.71,0.7972
Lucca,10,2019-10,2022-09,2022-10,2023-09,365.58,355.97,214.38,0.3034,159.6,135.36,116.0,0.8672
Lucca,11,2019-11,2022-10,2022-11,2023-10,164.28,152.95,106.59,0.8597,219.6,208.66,147.61,0.7494
Lucca,12,2019-12,2022-11,2022-12,2023-11,144.58,121.61,32.03,0.8902,86.53,75.91,52.05,0.9607
Lucca,13,2020-01,2022-12,2023-01,2023-12,90.15,76.97,27.79,0.9568,118.65,92.1,18.2,0.9252
Lucca,14,2020-02,2023-01,2023-02,2024-01,120.96,95.17,17.97,0.9216,141.73,115.67,23.01,0.8924
Lucca,15,2020-03,2023-02,2023-03,2024-02,123.06,95.82,17.28,0.9182,122.44,97.64,20.0,0.919
Lucca,16,2020-04,2023-03,2023-04,2024-03,98.92,88.4,32.92,0.9459,103.69,82.2,16.41,0.9406
Lucca,17,2020-05,2023-04,2023-05,2024-04,152.1,128.53,82.7,0.8719,90.32,73.07,20.25,0.9548
Lucca,18,2020-06,2023-05,2023-06,2024-05,221.86,197.59,117.23,0.7361,171.75,147.32,57.56,0.8419
Lucca,19,2020-07,2023-06,2023-07,2024-06,86.74,68.62,24.91,0.9619,94.42,83.62,49.45,0.9548
Lucca,20,2020-08,2023-07,2023-08,2024-07,180.45,164.52,92.8,0.876,113.19,94.42,46.9,0.9512
Pisa,1,2019-01,2021-12,2022-01,2022-12,458.26,367.16,56.41,-0.1325,332.22,255.96,53.01,0.4048
Pisa,2,2019-02,2022-01,2022-02,2023-01,536.07,461.29,79.22,-0.6481,393.86,313.38,45.36,0.1103
Pisa,3,2019-03,2022-02,2022-03,2023-02,436.08,345.06,48.21,-0.1456,400.58,327.73,50.04,0.0333
Pisa,4,2019-04,2022-03,2022-04,2023-03,360.87,326.79,70.27,0.1653,376.26,293.48,39.42,0.0926
Pisa,5,2019-05,2022-04,2022-05,2023-04,739.74,604.62,194.59,-2.5013,265.81,231.86,52.07,0.5479
Pisa,6,2019-06,2022-05,2022-06,2023-05,743.34,639.89,193.36,-2.2251,267.39,226.07,58.91,0.5827
Pisa,7,2019-07,2022-06,2022-07,2023-06,929.29,850.83,230.7,-3.2688,276.91,233.46,66.73,0.621
Pisa,8,2019-08,2022-07,2022-08,2023-07,1088.27,1054.72,256.54,-3.004,238.0,195.06,63.28,0.8085
Pisa,9,2019-09,2022-08,2022-09,2023-08,354.7,333.8,83.35,0.6306,299.14,254.46,78.18,0.7372
Pisa,10,2019-10,2022-09,2022-10,2023-09,329.1,318.92,74.81,0.699,310.92,276.54,81.12,0.7313
Pisa,11,2019-11,2022-10,2022-11,2023-10,172.87,166.68,40.3,0.9174,232.17,192.48,61.15,0.851
Pisa,12,2019-12,2022-11,2022-12,2023-11,119.12,108.78,16.5,0.96,178.85,165.09,31.47,0.9099
Pisa,13,2020-01,2022-12,2023-01,2023-12,85.9,64.2,16.09,0.9787,228.19,183.73,19.5,0.8495
Pisa,14,2020-02,2023-01,2023-02,2024-01,87.64,71.54,16.14,0.9774,263.65,204.5,18.19,0.7955
Pisa,15,2020-03,2023-02,2023-03,2024-02,97.57,85.13,11.41,0.9712,268.53,208.12,17.79,0.7819
Pisa,16,2020-04,2023-03,2023-04,2024-03,82.13,70.67,11.43,0.9788,261.76,205.44,17.75,0.7845
Pisa,17,2020-05,2023-04,2023-05,2024-04,83.48,73.94,13.87,0.9781,189.48,164.49,21.86,0.8871
Pisa,18,2020-06,2023-05,2023-06,2024-05,138.98,115.76,28.11,0.9428,186.58,161.54,35.24,0.8969
Pisa,19,2020-07,2023-06,2023-07,2024-06,121.97,93.62,15.73,0.9624,188.12,167.3,33.79,0.9105
Pisa,20,2020-08,2023-07,2023-08,2024-07,174.1,127.07,20.95,0.9438,197.93,176.1,31.16,0.9274
Siena,1,2019-01,2021-12,2022-01,2022-12,278.07,218.92,46.67,0.4755,243.74,197.45,67.59,0.597
Siena,2,2019-02,2022-01,2022-02,2023-01,291.86,231.82,44.29,0.4049,304.31,254.71,56.9,0.3531
Siena,3,2019-03,2022-02,2022-03,2023-02,281.44,223.04,44.74,0.4337,316.05,271.06,64.66,0.2858
Siena,4,2019-04,2022-03,2022-04,2023-03,231.0,215.43,81.53,0.5966,275.18,225.15,42.03,0.4275
Siena,5,2019-05,2022-04,2022-05,2023-04,409.53,337.79,198.68,-0.2685,175.45,158.5,66.65,0.7672
Siena,6,2019-06,2022-05,2022-06,2023-05,471.97,407.56,222.94,-0.5308,226.56,185.85,110.84,0.6473
Siena,7,2019-07,2022-06,2022-07,2023-06,547.6,496.51,250.63,-0.7133,194.8,166.05,92.6,0.7832
Siena,8,2019-08,2022-07,2022-08,2023-07,553.23,524.3,250.73,-0.179,209.51,169.84,103.26,0.8309
Siena,9,2019-09,2022-08,2022-09,2023-08,207.38,162.32,104.09,0.8625,203.63,182.41,94.91,0.8674
Siena,10,2019-10,2022-09,2022-10,2023-09,291.75,248.12,142.63,0.7661,225.52,190.75,109.71,0.8602
Siena,11,2019-11,2022-10,2022-11,2023-10,209.23,176.14,103.5,0.8834,219.1,192.27,104.41,0.8721
Siena,12,2019-12,2022-11,2022-12,2023-11,279.71,225.76,33.16,0.7894,245.55,220.39,63.75,0.8377
Siena,13,2020-01,2022-12,2023-01,2023-12,287.74,240.37,39.53,0.7753,334.21,258.47,32.09,0.6968
Siena,14,2020-02,2023-01,2023-02,2024-01,264.42,235.66,59.77,0.8096,341.39,260.68,28.24,0.6826
Siena,15,2020-03,2023-02,2023-03,2024-02,340.17,274.01,36.51,0.6829,373.47,287.81,27.67,0.6178
Siena,16,2020-04,2023-03,2023-04,2024-03,288.69,264.03,62.81,0.7655,333.12,263.37,32.58,0.6877
Siena,17,2020-05,2023-04,2023-05,2024-04,294.76,276.72,108.61,0.7548,274.39,238.2,47.96,0.7875
Siena,18,2020-06,2023-05,2023-06,2024-05,437.43,361.44,167.78,0.474,251.26,234.48,69.19,0.8264
Siena,19,2020-07,2023-06,2023-07,2024-06,326.35,281.05,127.74,0.7191,236.09,205.09,62.62,0.853
Siena,20,2020-08,2023-07,2023-08,2024-07,521.45,470.22,188.9,0.3408,220.62,193.33,66.85,0.882
